Bins 1%,Frequency
0%,0
1%,0
2%,1
3%,1
4%,4
5%,0
6%,4
7%,5
8%,6
9%,4
10%,4
11%,4
12%,3
13%,3
14%,1
15%,0
16%,2
17%,2
18%,2
19%,0
20%,2
21%,2
22%,1
23%,0
24%,2
25%,1
26%,2
27%,3
28%,0
29%,2
30%,0
31%,3
32%,4
33%,11
34%,13
35%,18
36%,26
37%,35
38%,50
39%,70
40%,55
41%,71
42%,73
43%,74
44%,63
45%,53
46%,74
47%,82
48%,55
49%,71
50%,51
51%,60
52%,67
53%,66
54%,67
55%,67
56%,85
57%,81
58%,78
59%,93
60%,89
61%,67
62%,90
63%,95
64%,81
65%,69
66%,67
67%,79
68%,57
69%,59
70%,47
71%,44
72%,56
73%,46
74%,30
75%,21
76%,34
77%,23
78%,32
79%,27
80%,15
81%,17
82%,38
83%,33
84%,19
85%,24
86%,25
87%,26
88%,13
89%,13
90%,18
91%,12
92%,15
93%,12
94%,13
95%,15
96%,7
97%,4
98%,1
99%,0
100%,0
